
Player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
J. Butler SF,43,12-28,3-7,1-2,1,6,7,6,3,0,1,2,+11,28
C. Martin SF,45,11-16,4-6,0-0,3,7,10,3,1,0,1,0,+14,26
B. Adebayo C,43,4-10,0-0,4-4,1,9,10,7,0,1,4,3,+22,12
G. Vincent PG,26,4-10,2-3,0-0,1,0,1,4,0,0,1,3,-2,10
M. Strus SG,28,3-8,2-6,0-0,1,4,5,0,0,0,0,3,+4,8
D. Robinson F,20,4-6,2-3,0-0,0,1,1,1,2,1,3,1,+17,10
H. Highsmith F,9,1-2,0-1,0-0,0,1,1,0,1,0,0,1,+3,2
N. Jovic F,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
O. Yurtseven C,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
K. Lowry PG,24,3-6,1-2,0-0,0,7,7,5,0,0,2,2,+26,7

Player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
J. Tatum SF,42,5-13,1-4,3-4,2,9,11,4,1,0,2,2,-12,14
A. Horford C,34,3-8,2-5,0-0,1,7,8,2,1,0,0,3,-10,8
M. Smart PG,35,4-10,1-6,0-0,0,2,2,4,1,0,2,1,-10,9
D. White PG,36,5-12,2-9,6-7,1,1,2,1,1,0,2,0,-7,18
J. Brown SG,43,8-23,1-9,2-2,0,8,8,5,1,2,8,5,-17,19
G. Williams PF,16,1-3,1-3,0-0,1,0,1,1,1,0,1,0,-19,3
S. Hauser SF,4,1-3,0-2,0-0,1,0,1,0,0,0,0,0,-1,2
M. Muscala C,2,1-1,1-1,0-0,1,0,1,0,0,0,0,0,+3,3
L. Kornet C,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+3,0
R. Williams III C,14,4-5,0-0,0-0,3,3,6,1,0,1,0,1,-9,8
M. Brogdon PG,7,0-3,0-2,0-0,0,0,0,0,0,1,0,1,-15,0
P. Pritchard PG,4,0-1,0-1,0-0,0,0,0,0,0,0,0,0,-1,0
